prob,pred,label,path,correct,pred_name,label_name
0.977,11,11,/kaggle/input/datasets/steubk/wikiart/Realism/john-singer-sargent_henry-james-1913.jpg,True,John_Singer_Sargent,John_Singer_Sargent
0.6274,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/claude-monet_antibes-afternoon-effect(1).jpg,True,Claude_Monet,Claude_Monet
0.987,19,19,/kaggle/input/datasets/steubk/wikiart/Art_Nouveau_Modern/raphael-kirchner_stained-glass-art-3.jpg,True,Raphael_Kirchner,Raphael_Kirchner
0.518,22,22,/kaggle/input/datasets/steubk/wikiart/Realism/vincent-van-gogh_view-of-het-steen-1885.jpg,True,Vincent_van_Gogh,Vincent_van_Gogh
0.638,19,19,/kaggle/input/datasets/steubk/wikiart/Art_Nouveau_Modern/raphael-kirchner_magentic-pole.jpg,True,Raphael_Kirchner,Raphael_Kirchner
0.97,15,15,/kaggle/input/datasets/steubk/wikiart/Cubism/pablo-picasso_still-life-with-bust-and-palette.jpg,True,Pablo_Picasso,Pablo_Picasso
0.9897,0,0,/kaggle/input/datasets/steubk/wikiart/Northern_Renaissance/albrecht-durer_st-jerome-1521.jpg,True,Albrecht_Durer,Albrecht_Durer
0.98,18,18,/kaggle/input/datasets/steubk/wikiart/Realism/pyotr-konchalovsky_still-life-the-dutch-bouquet-1935.jpg,True,Pyotr_Konchalovsky,Pyotr_Konchalovsky
0.9136,3,3,/kaggle/input/datasets/steubk/wikiart/Impressionism/childe-hassam_paris-street.jpg,True,Childe_Hassam,Childe_Hassam
0.9976,9,9,/kaggle/input/datasets/steubk/wikiart/Romanticism/ivan-aivazovsky_sea-battle-at-revel-1846.jpg,True,Ivan_Aivazovsky,Ivan_Aivazovsky
0.676,22,22,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/vincent-van-gogh_the-walk-falling-leaves-1889.jpg,True,Vincent_van_Gogh,Vincent_van_Gogh
0.998,9,9,/kaggle/input/datasets/steubk/wikiart/Romanticism/ivan-aivazovsky_the-sunset-on-sea-1866.jpg,True,Ivan_Aivazovsky,Ivan_Aivazovsky
0.8706,12,12,/kaggle/input/datasets/steubk/wikiart/Naive_Art_Primitivism/marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-22.jpg,True,Marc_Chagall,Marc_Chagall
0.778,18,18,/kaggle/input/datasets/steubk/wikiart/Realism/pyotr-konchalovsky_spanish-women-1937.jpg,True,Pyotr_Konchalovsky,Pyotr_Konchalovsky
0.997,14,14,/kaggle/input/datasets/steubk/wikiart/Symbolism/nicholas-roerich_hermit-by-the-misterious-stone-unknown-old-man-has-settled-1941.jpg,True,Nicholas_Roerich,Nicholas_Roerich
0.9873,2,2,/kaggle/input/datasets/steubk/wikiart/Impressionism/camille-pissarro_the-siesin-the-fields-1893.jpg,True,Camille_Pissarro,Camille_Pissarro
0.5415,22,14,/kaggle/input/datasets/steubk/wikiart/Art_Nouveau_Modern/nicholas-roerich_zvenigorod-holy-gate-1904.jpg,False,Vincent_van_Gogh,Nicholas_Roerich
0.7866,20,20,/kaggle/input/datasets/steubk/wikiart/Baroque/rembrandt_the-rest-on-the-flight-1644.jpg,True,Rembrandt,Rembrandt
0.4307,22,22,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/vincent-van-gogh_the-hill-of-montmartre-with-quarry-1886.jpg,True,Vincent_van_Gogh,Vincent_van_Gogh
0.96,22,22,/kaggle/input/datasets/steubk/wikiart/Realism/vincent-van-gogh_girl-standing-knitting-1882(1).jpg,True,Vincent_van_Gogh,Vincent_van_Gogh
0.9946,9,9,/kaggle/input/datasets/steubk/wikiart/Romanticism/ivan-aivazovsky_lunar-night-1857.jpg,True,Ivan_Aivazovsky,Ivan_Aivazovsky
0.3577,11,8,/kaggle/input/datasets/steubk/wikiart/Realism/ilya-repin_send-off-of-recruit-1879.jpg,False,John_Singer_Sargent,Ilya_Repin
0.778,15,15,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/pablo-picasso_seated-harlequin-jacinto-salvado-1923.jpg,True,Pablo_Picasso,Pablo_Picasso
0.3103,16,17,/kaggle/input/datasets/steubk/wikiart/Impressionism/pierre-auguste-renoir_the-banks-of-the-seine-at-argenteuil-1880.jpg,False,Paul_Cezanne,Pierre_Auguste_Renoir
0.985,16,16,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/paul-cezanne_portrait-of-the-gardener-vallier.jpg,True,Paul_Cezanne,Paul_Cezanne
0.998,9,9,/kaggle/input/datasets/steubk/wikiart/Romanticism/ivan-aivazovsky_sailing-off-the-coast-of-the-crimea-in-the-moonlit-night-1858.jpg,True,Ivan_Aivazovsky,Ivan_Aivazovsky
0.424,21,15,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/pablo-picasso_pierrot-and-colombina-1900.jpg,False,Salvador_Dali,Pablo_Picasso
0.9966,9,9,/kaggle/input/datasets/steubk/wikiart/Romanticism/ivan-aivazovsky_sea-1867.jpg,True,Ivan_Aivazovsky,Ivan_Aivazovsky
0.9873,11,11,/kaggle/input/datasets/steubk/wikiart/Impressionism/john-singer-sargent_spirito-santo-saattera.jpg,True,John_Singer_Sargent,John_Singer_Sargent
0.9443,12,12,/kaggle/input/datasets/steubk/wikiart/Naive_Art_Primitivism/marc-chagall_the-lovers-heaven-1964.jpg,True,Marc_Chagall,Marc_Chagall
0.996,12,12,/kaggle/input/datasets/steubk/wikiart/Naive_Art_Primitivism/marc-chagall_musicians-1979.jpg,True,Marc_Chagall,Marc_Chagall
0.5044,20,20,/kaggle/input/datasets/steubk/wikiart/Baroque/rembrandt_a-man-with-a-short-beard-and-embroidered-cloak-1631.jpg,True,Rembrandt,Rembrandt
0.7754,18,15,/kaggle/input/datasets/steubk/wikiart/Expressionism/pablo-picasso_drunk-woman-is-tired-1902.jpg,False,Pyotr_Konchalovsky,Pablo_Picasso
0.398,20,20,/kaggle/input/datasets/steubk/wikiart/Baroque/rembrandt_self-portrait-with-a-broad-nose.jpg,True,Rembrandt,Rembrandt
0.4402,5,5,/kaggle/input/datasets/steubk/wikiart/Impressionism/edgar-degas_portrait-of-giulia-bellelli-sketch-1860.jpg,True,Edgar_Degas,Edgar_Degas
0.973,2,2,/kaggle/input/datasets/steubk/wikiart/Impressionism/camille-pissarro_louveciennes-1871.jpg,True,Camille_Pissarro,Camille_Pissarro
0.941,5,5,/kaggle/input/datasets/steubk/wikiart/Impressionism/edgar-degas_madame-alexis-rouart-and-her-children.jpg,True,Edgar_Degas,Edgar_Degas
0.9976,6,6,/kaggle/input/datasets/steubk/wikiart/Impressionism/eugene-boudin_strand-in-trouville-1868.jpg,True,Eugene_Boudin,Eugene_Boudin
0.969,18,18,/kaggle/input/datasets/steubk/wikiart/Realism/pyotr-konchalovsky_portrait-of-natalia-petrovna-konchalovskaya-daughter-of-the-artist-against-the-backdrop-of-a-1953.jpg,True,Pyotr_Konchalovsky,Pyotr_Konchalovsky
0.98,14,14,/kaggle/input/datasets/steubk/wikiart/Symbolism/nicholas-roerich_drops-of-life-1924.jpg,True,Nicholas_Roerich,Nicholas_Roerich
0.9927,11,11,/kaggle/input/datasets/steubk/wikiart/Realism/john-singer-sargent_mrs-robert-harrison-1886.jpg,True,John_Singer_Sargent,John_Singer_Sargent
0.9473,15,15,/kaggle/input/datasets/steubk/wikiart/Cubism/pablo-picasso_seated-female-nude-1939.jpg,True,Pablo_Picasso,Pablo_Picasso
0.983,5,17,/kaggle/input/datasets/steubk/wikiart/Impressionism/pierre-auguste-renoir_dancer-1874.jpg,False,Edgar_Degas,Pierre_Auguste_Renoir
