prob,pred,label,path,correct,pred_name,label_name
0.653,14,14,/kaggle/input/datasets/steubk/wikiart/Minimalism/martial-raysse_untitled-2.jpg,True,Minimalism,Minimalism
0.9976,19,19,/kaggle/input/datasets/steubk/wikiart/Pop_Art/andy-warhol_mao-4.jpg,True,Pop_Art,Pop_Art
0.5737,9,20,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/suzanne-valadon_portrait-of-a-woman-1917.jpg,False,Expressionism,Post_Impressionism
0.3855,7,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/aaron-siskind_pleasures-and-terrors-of-levitation-25-1957.jpg,False,Cubism,Abstract_Expressionism
0.2258,12,12,/kaggle/input/datasets/steubk/wikiart/Impressionism/edgar-degas_group-of-dancers-1.jpg,True,Impressionism,Impressionism
0.98,23,23,/kaggle/input/datasets/steubk/wikiart/Romanticism/thomas-cole_the-voyage-of-life-childhood-1.jpg,True,Romanticism,Romanticism
0.2969,9,23,/kaggle/input/datasets/steubk/wikiart/Romanticism/taras-shevchenko_young-kazakh-s-song-1857.jpg,False,Expressionism,Romanticism
0.4773,11,13,/kaggle/input/datasets/steubk/wikiart/Mannerism_Late_Renaissance/lavinia-fontana_noli-me-tangere-1581.jpg,False,High_Renaissance,Mannerism_Late_Renaissance
0.583,5,5,/kaggle/input/datasets/steubk/wikiart/Color_Field_Painting/morris-louis_saf-1959.jpg,True,Color_Field_Painting,Color_Field_Painting
0.5366,12,23,/kaggle/input/datasets/steubk/wikiart/Romanticism/john-william-waterhouse_gathering-summer-flowers-in-a-devonshire-garden.jpg,False,Impressionism,Romanticism
0.339,7,12,/kaggle/input/datasets/steubk/wikiart/Impressionism/gregoire-boonzaier_village-landscape.jpg,False,Cubism,Impressionism
0.271,12,4,/kaggle/input/datasets/steubk/wikiart/Baroque/diego-velazquez_villa-medici-in-rome-facade-of-the-grotto-logia-1630.jpg,False,Impressionism,Baroque
0.4417,21,23,/kaggle/input/datasets/steubk/wikiart/Romanticism/gustave-dore_don-quixote-118.jpg,False,Realism,Romanticism
0.4966,12,21,/kaggle/input/datasets/steubk/wikiart/Realism/vasily-surikov_study-to-tsarevna-s-visit-of-nunnery-1.jpg,False,Impressionism,Realism
0.3801,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/morris-graves_machine-age-noise-1957.jpg,True,Abstract_Expressionism,Abstract_Expressionism
0.371,20,12,/kaggle/input/datasets/steubk/wikiart/Impressionism/konstantin-korovin_fish-1916-1.jpg,False,Post_Impressionism,Impressionism
0.669,12,20,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/nikola-tanev_winter-in-innsbruck.jpg,False,Impressionism,Post_Impressionism
0.6455,7,9,/kaggle/input/datasets/steubk/wikiart/Expressionism/jose-clemente-orozco_advance-1940.jpg,False,Cubism,Expressionism
0.552,5,5,/kaggle/input/datasets/steubk/wikiart/Color_Field_Painting/paul-feeley_cheleb.jpg,True,Color_Field_Painting,Color_Field_Painting
