prob,pred,label,path,correct,pred_name,label_name
0.977,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/winston-churchill_view-on-the-river-var.jpg,True,landscape,landscape
0.954,6,6,/kaggle/input/datasets/steubk/wikiart/Impressionism/berthe-morisot_young-woman-in-mauve.jpg,True,portrait,portrait
0.7236,2,2,/kaggle/input/datasets/steubk/wikiart/Baroque/bartolome-esteban-murillo_game-dealers.jpg,True,genre_painting,genre_painting
0.9546,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/childe-hassam_spring-landscape-with-a-farmer-and-white-horse.jpg,True,landscape,landscape
0.7046,8,7,/kaggle/input/datasets/steubk/wikiart/Northern_Renaissance/hugo-van-der-goes_christ-on-the-cross.jpg,False,sketch_and_study,religious_painting
0.9272,5,5,/kaggle/input/datasets/steubk/wikiart/Expressionism/chronis-botsoglou_erotica-2.jpg,True,nude_painting,nude_painting
0.8296,6,6,/kaggle/input/datasets/steubk/wikiart/Rococo/jean-honore-fragonard_young-girl-reading.jpg,True,portrait,portrait
0.9927,6,6,/kaggle/input/datasets/steubk/wikiart/Baroque/sebastien-bourdon_presumed-portrait-of-ren-descartes.jpg,True,portrait,portrait
0.684,1,1,/kaggle/input/datasets/steubk/wikiart/Impressionism/konstantin-korovin_paris-at-night-1911.jpg,True,cityscape,cityscape
0.9907,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/claude-monet_valley-of-the-creuse-grey-sky.jpg,True,landscape,landscape
0.817,8,6,/kaggle/input/datasets/steubk/wikiart/Baroque/peter-paul-rubens_nicolas-trigault-1.jpg,False,sketch_and_study,portrait
0.998,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/sam-francis_untitled-1984-4.jpg,True,abstract_painting,abstract_painting
0.744,8,2,/kaggle/input/datasets/steubk/wikiart/Art_Nouveau_Modern/raphael-kirchner_maid-of-athens-1900-2.jpg,False,sketch_and_study,genre_painting
0.9785,8,8,/kaggle/input/datasets/steubk/wikiart/Baroque/annibale-carracci_preparatory-drawing-for-self-portrait-on-an-easel-in-a-workshop.jpg,True,sketch_and_study,sketch_and_study
0.9985,9,9,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/eduardo-viana_composi-o-1947.jpg,True,still_life,still_life
0.9985,9,9,/kaggle/input/datasets/steubk/wikiart/Symbolism/kuzma-petrov-vodkin_apples-1917.jpg,True,still_life,still_life
0.9976,7,7,/kaggle/input/datasets/steubk/wikiart/High_Renaissance/michelangelo_the-ancestors-of-christ-ozias-1509.jpg,True,religious_painting,religious_painting
0.9946,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/victor-pasmore_sun-and-sky-1979.jpg,True,abstract_painting,abstract_painting
0.997,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/willem-de-kooning_untitled-1986.jpg,True,abstract_painting,abstract_painting
0.4617,1,4,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/paul-cezanne_in-the-woods-1894.jpg,False,cityscape,landscape
0.99,8,8,/kaggle/input/datasets/steubk/wikiart/Symbolism/nicholas-roerich_kulu-valley-1929.jpg,True,sketch_and_study,sketch_and_study
0.9966,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/norman-bluhm_frozen-summer-1966.jpg,True,abstract_painting,abstract_painting
0.9995,9,9,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/paula-modersohn-becker_still-life-with-plant-lemon-and-orange.jpg,True,still_life,still_life
0.9717,4,8,/kaggle/input/datasets/steubk/wikiart/Impressionism/camille-pissarro_springtime-at-eragny-study.jpg,False,landscape,sketch_and_study
0.934,8,8,/kaggle/input/datasets/steubk/wikiart/Realism/vincent-van-gogh_oxcart-in-the-snow-1884.jpg,True,sketch_and_study,sketch_and_study
0.973,1,1,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/maurice-utrillo_bridge-and-church.jpg,True,cityscape,cityscape
0.9966,6,7,/kaggle/input/datasets/steubk/wikiart/Early_Renaissance/sandro-botticelli_portrait-of-a-young-man-with-red-cap-1477(1).jpg,False,portrait,religious_painting
0.985,1,1,/kaggle/input/datasets/steubk/wikiart/Pop_Art/hiro-yamagata_not-detected-272390.jpg,True,cityscape,cityscape
0.8623,7,7,/kaggle/input/datasets/steubk/wikiart/Early_Renaissance/masaccio_st-peter-healing-the-sick-with-his-shadow-1425.jpg,True,religious_painting,religious_painting
0.7617,1,1,/kaggle/input/datasets/steubk/wikiart/Romanticism/cornelis-springer_view-of-montelspran-1845.jpg,True,cityscape,cityscape
0.995,8,8,/kaggle/input/datasets/steubk/wikiart/Early_Renaissance/jacopo-bellini_sketch-of-figures-and-scenes-from-the-antique-age.jpg,True,sketch_and_study,sketch_and_study
0.4675,0,0,/kaggle/input/datasets/steubk/wikiart/Abstract_Expressionism/mark-tobey_childs-fantasy.jpg,True,abstract_painting,abstract_painting
0.7104,6,6,/kaggle/input/datasets/steubk/wikiart/Impressionism/theodor-pallady_interior-din-atelierul-din-place-dauphine-1934.jpg,True,portrait,portrait
0.5327,2,4,/kaggle/input/datasets/steubk/wikiart/Expressionism/wassily-kandinsky_blue-rider-1903.jpg,False,genre_painting,landscape
0.977,4,4,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/gustave-loiseau_cliffs-of-etretat-1902.jpg,True,landscape,landscape
0.755,2,2,/kaggle/input/datasets/steubk/wikiart/Realism/nikolay-bogdanov-belsky_misery.jpg,True,genre_painting,genre_painting
0.981,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/robert-julian-onderdonk_bluebonnets-on-a-grey-day-1922.jpg,True,landscape,landscape
0.6675,4,4,/kaggle/input/datasets/steubk/wikiart/Impressionism/henri-martin_view-of-labastide-du-vert-2.jpg,True,landscape,landscape
0.9907,7,7,/kaggle/input/datasets/steubk/wikiart/Baroque/eustache-le-sueur_the-preaching-of-st-paul-at-ephesus.jpg,True,religious_painting,religious_painting
0.997,7,7,/kaggle/input/datasets/steubk/wikiart/Baroque/juan-de-valdes-leal_virgin-of-the-immaculate-conception-with-sts-andrew-and-john-the-baptist-1672.jpg,True,religious_painting,religious_painting
0.996,5,5,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/georges-lemmen_sitting-nude-on-chair-1910.jpg,True,nude_painting,nude_painting
0.846,6,6,/kaggle/input/datasets/steubk/wikiart/Realism/vasily-vereshchagin_buddhist-lama-in-a-monastery-on-a-holiday-pemionchi-sikkim-1875.jpg,True,portrait,portrait
0.7905,2,3,/kaggle/input/datasets/steubk/wikiart/Realism/boris-kustodiev_illustration-for-singers-by-ivan-turgenev-1908.jpg,False,genre_painting,illustration
0.4963,4,1,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/vincent-van-gogh_street-in-auvers-sur-oise-1890.jpg,False,landscape,cityscape
0.859,2,7,/kaggle/input/datasets/steubk/wikiart/Realism/ivan-kramskoy_herodias-1886.jpg,False,genre_painting,religious_painting
0.766,1,1,/kaggle/input/datasets/steubk/wikiart/Post_Impressionism/serge-sudeikin_winter-fantasy.jpg,True,cityscape,cityscape
0.9995,0,0,/kaggle/input/datasets/steubk/wikiart/Color_Field_Painting/john-hoyland_29-03-60-1960.jpg,True,abstract_painting,abstract_painting
